Start time,ID,Matter Emotions,Life Emotions,Thought Emotions,Matter Learning,Life Learning,Thought Learning,Admiration,Confusion,Haunt,Disorientation,Amazement,Fascination,Amazing,Curiosity,Perplexity,"I felt a closer sense of identity, of who I am.",I felt a psychological connection to everyone/everything around me.,I felt a physical connection to everyone/everything around me.,Everything seemed to be connected.,I experienced a feeling of confinement.,I experienced a feeling of oppression.,I experienced a feeling of tension.,My heart was racing.,It took my breath away.,I felt chills.,I felt physically smaller.,"I felt trivial, in the grand scheme of things.",The world seemed vast.,What did you learn about during your visit?,Is this your first time visiting the Museum of Tomorrow?,"If not, how many times have you visited us previously?","Did you watch the movie Cosmos, projected onto the sphere?",How many people accompanied you on this visit?,Would you like to visit the museum again in the future?,Would you recommend the museum to your friends and family?,Age group,Gender,Race,Do you have any disabilities?,What disability do you have?,Do you have children? ,Where do you live?,Would you like to share something more about your visit or your experience today?,Cubes Emotion Mean,Cubes Learning Mean,Group
2023-09-29 21:33:21,M1,6.0,8.0,8.0,7.0,8.0,8.0,8,6,3,3,6,6,3,8,3,7,4,6,4,1,1,1,1,3,1,7,5,7,Diversidade Cultural ;Biodiversidade;,Não,1,Sim,1 pessoa,Sim,Sim,19-30 anos,Feminino,Branco,Não,,Não,Cidade do Rio,,6.0,7.0,Control
2023-09-29 21:40:33,M2,8.0,8.0,2.0,8.0,8.0,5.0,7,4,2,1,8,8,3,8,8,7,7,7,7,1,1,4,2,1,1,7,7,7,Sustentabilidade;Biodiversidade;Diversidade Cultural ;Recursos Naturais ;,Sim,,Sim,2 pessoas,Sim,Sim,Mais de 60 anos,Feminino,Preto,Não,,Sim,Estado do Rio,,8.0,8.0,Control
2023-09-29 21:47:10,M3,8.0,8.0,4.0,8.0,6.0,2.0,8,3,1,1,8,8,1,1,8,7,7,7,7,1,1,1,1,1,1,5,7,7,Biodiversidade;Sustentabilidade;,Não,2,Sim,2 pessoas,Sim,Sim,31-59 anos,Feminino,Preto,Sim,Psicossocial,Sim,Cidade do Rio,,8.0,8.0,Control
2023-09-29 21:55:10,M4,8.0,8.0,8.0,8.0,8.0,8.0,8,1,1,1,8,8,4,8,8,7,4,4,7,1,1,1,1,4,1,5,3,7,Sustentabilidade;Biodiversidade;Diversidade Cultural ;Recursos Naturais ;,Sim,,Sim,1 pessoa,Sim,Sim,19-30 anos,Feminino,Preto,Não,,Não,Estado do Rio,,8.0,8.0,Control
2023-09-30 16:36:13,M1,6.0,7.0,4.0,5.0,6.0,5.0,7,2,2,2,7,5,3,6,5,5,5,4,6,6,2,2,1,1,1,3,2,7,Sustentabilidade;Biodiversidade;Diversidade Cultural ;Recursos Naturais ;,Sim,,Sim,3 ou mais pessoas,Sim,Sim,Mais de 60 anos,Masculino,Branco,Não,,Sim,Outro Estado do Brasil,,6.0,5.0,Control
2023-09-30 16:48:34,M2,7.0,7.0,7.0,4.0,6.0,5.0,6,2,4,2,5,5,6,6,6,4,3,5,4,2,2,5,4,2,2,2,3,6,Sustentabilidade;Biodiversidade;Diversidade Cultural ;Recursos Naturais ;,Sim,,Não,1 pessoa,Sim,Sim,31-59 anos,Feminino,Branco,Não,,Sim,Outro Estado do Brasil,,7.0,4.0,Control
2023-09-30 16:51:48,M3,7.0,8.0,8.0,5.0,8.0,8.0,7,3,1,1,6,8,1,8,4,5,7,6,7,1,1,7,1,1,1,7,2,4,Diversidade Cultural ;,Sim,,Sim,1 pessoa,Sim,Sim,19-30 anos,Feminino,Branco,Não,,Sim,Outro Estado do Brasil,,7.0,5.0,Control
2023-09-30 16:55:47,M5,8.0,8.0,8.0,8.0,8.0,8.0,8,8,8,8,8,8,8,8,8,6,7,5,7,5,1,1,2,4,5,1,5,7,Diversidade Cultural ;,Sim,,Sim,1 pessoa,Sim,Sim,31-59 anos,Feminino,Preto,Não,,Não,Outro Estado do Brasil,,8.0,8.0,Control
2023-09-30 16:30:26,D02-P042,7.0,7.0,8.0,8.0,8.0,7.0,8,1,1,1,8,8,4,8,4,1,1,1,7,1,1,1,1,1,1,7,4,7,Recursos Naturais ;Diversidade Cultural ;Biodiversidade;Sustentabilidade;,Não,1,Sim,1 pessoa,Sim,Sim,19-30 anos,Feminino,Pardo,Não,,Não,Cidade do Rio,,7.0,8.0,Control
2023-09-30 17:00:36,M6,7.0,7.0,8.0,7.0,6.0,8.0,8,1,6,1,8,7,7,6,8,7,6,6,7,4,1,1,1,1,1,6,7,7,Sustentabilidade;Biodiversidade;Diversidade Cultural ;Recursos Naturais ;,Sim,,Não,1 pessoa,Sim,Sim,31-59 anos,Masculino,Preto,Não,,Não,Cidade do Rio,Muito bacana o ambiente da exposição e interação nos difrentes espaços,7.0,7.0,Control
